CMDLINE /bin/python3 '/home/oleksandra/Desktop/UCU/programming/semestr_2/mini-project_2/AI_report_tasks/code optimization/graph/our_code.py'
MEM 0.546875 1713613968.3686
MEM 24.585938 1713613968.4689
MEM 38.394531 1713613968.5693
MEM 44.382812 1713613968.6697
MEM 44.640625 1713613968.7700
MEM 44.640625 1713613968.8703
MEM 44.640625 1713613968.9706
MEM 44.898438 1713613969.0717
MEM 44.898438 1713613969.1720
MEM 44.898438 1713613969.2724
MEM 44.898438 1713613969.3728
MEM 45.156250 1713613969.4732
MEM 45.156250 1713613969.5736
MEM 45.156250 1713613969.6740
MEM 45.414062 1713613969.7743
MEM 45.414062 1713613969.8747
MEM 45.671875 1713613969.9750
MEM 45.671875 1713613970.0753
MEM 45.671875 1713613970.1755
MEM 45.929688 1713613970.2759
MEM 45.929688 1713613970.3762
MEM 46.703125 1713613970.4765
MEM 46.960938 1713613970.5768
MEM 46.960938 1713613970.6771
MEM 46.960938 1713613970.7774
MEM 46.960938 1713613970.8777
MEM 46.960938 1713613970.9780
MEM 46.960938 1713613971.0783
MEM 46.960938 1713613971.1786
MEM 46.960938 1713613971.2789
MEM 46.960938 1713613971.3792
MEM 47.218750 1713613971.4796
MEM 47.218750 1713613971.5799
MEM 47.218750 1713613971.6802
MEM 47.218750 1713613971.7805
MEM 47.218750 1713613971.8809
MEM 47.218750 1713613971.9812
MEM 47.218750 1713613972.0815
MEM 47.218750 1713613972.1818
MEM 47.218750 1713613972.2821
MEM 47.218750 1713613972.3824
MEM 47.218750 1713613972.4827
MEM 47.218750 1713613972.5830
MEM 47.218750 1713613972.6832
MEM 47.218750 1713613972.7836
MEM 47.218750 1713613972.8839
MEM 47.218750 1713613972.9842
MEM 47.218750 1713613973.0845
MEM 47.734375 1713613973.1848
MEM 47.734375 1713613973.2851
MEM 47.734375 1713613973.3854
MEM 47.734375 1713613973.4859
MEM 46.941406 1713613973.5864
